celltype_1,celltype_2,category,log2_enr_A_K15,log2_enr_A_K200,log2_enr_B_K15,log2_enr_B_K200
Astrocytes,Thalamic neuronal precursors,neither,-2.3220,-2.4023,-1.4338,-1.7858
Astrocytes,Ureteric bud,neither,-0.8840,-1.3962,-0.8659,-1.5159
Border-associated macrophages,Brain capillary endothelial cells,neither,-2.6954,-2.4827,-1.9790,-1.8332
Border-associated macrophages,Branchial arch epithelium,neither,-3.0148,-3.1156,-2.4466,-2.6072
Border-associated macrophages,Cajal-Retzius cells,neither,-2.7716,-2.8153,-2.5262,-2.3853
Border-associated macrophages,Cerebellar Purkinje cells,neither,-3.1363,-3.1586,-2.8672,-2.7274
Border-associated macrophages,Chondrocytes (Atp1a2+),neither,-2.5245,-2.6761,-2.4691,-2.3449
Border-associated macrophages,Choroid plexus,neither,-2.9216,-3.1176,-2.8660,-3.0631
Border-associated macrophages,Cranial motor neurons,neither,-2.9147,-2.8230,-3.2813,-2.5892
Border-associated macrophages,Deep-layer neurons,neither,-3.3797,-2.9401,-2.9583,-2.5431
Border-associated macrophages,Definitive early erythroblasts (CD36-),neither,-0.1390,-1.7668,-0.3539,-1.7335
Border-associated macrophages,Definitive erythroblasts (CD36+),K15_only,1.4094,-0.3401,1.2350,-0.3303
Border-associated macrophages,Dermatome,neither,-2.4139,-2.5065,-2.2015,-2.0901
Border-associated macrophages,Dermomyotome,neither,-1.8841,-2.4914,-3.7520,-2.2137
Border-associated macrophages,Diencephalon,neither,-4.2383,-4.2854,-4.0639,-3.8606
Border-associated macrophages,Dorsal root ganglion neurons,neither,-1.9504,-2.3183,-1.9376,-2.3119
Border-associated macrophages,Dorsal telencephalon,neither,-2.8096,-3.3815,-2.6688,-2.8495
Border-associated macrophages,Early chondrocytes,neither,-2.6075,-2.4730,-2.2911,-2.1262
Border-associated macrophages,Endocardial cells,neither,-1.8323,-2.6041,-2.4688,-2.3014
Border-associated macrophages,Endothelium,neither,-1.6730,-2.3152,-1.6136,-2.0969
Border-associated macrophages,Enteric neurons,neither,-3.9589,-2.6493,-1.0488,-2.0018
Border-associated macrophages,Eye field,neither,-2.9335,-3.5380,-2.0750,-3.1241
Border-associated macrophages,Facial mesenchyme,neither,-2.4975,-2.3676,-2.2798,-2.0526
Border-associated macrophages,Fibroblasts,neither,-2.6090,-2.0400,-2.1174,-1.6624
Border-associated macrophages,First heart field,neither,-0.9335,-2.4975,-1.5994,-2.0845
Border-associated macrophages,Floorplate and p3 domain,neither,-1.6256,-2.2932,-1.3988,-1.9657
Border-associated macrophages,GABAergic cortical interneurons,neither,-3.1672,-2.3384,-2.6519,-1.9287
Border-associated macrophages,GABAergic neurons,neither,-2.8756,-2.2724,-2.3198,-1.8826
Border-associated macrophages,Glutamatergic neurons,neither,-2.7404,-2.0933,-2.4206,-1.6795
Border-associated macrophages,Granular keratinocytes,neither,-3.0662,-2.9341,-2.5032,-2.4180
Border-associated macrophages,Hematopoietic stem cells (Cd34+),neither,0.4450,-2.1425,0.0620,-2.2301
Border-associated macrophages,Hematopoietic stem cells (Mpo+),K15_only,2.0937,-0.8576,1.6431,-0.8550
Border-associated macrophages,Hepatocytes,neither,-4.1098,-4.0559,-3.9929,-4.0668
Border-associated macrophages,Hindbrain,neither,-2.4362,-2.7861,-2.2703,-2.3579
Border-associated macrophages,Hypothalamus,neither,-3.2509,-3.2524,-1.9768,-2.7795
Border-associated macrophages,Hypothalamus (Sim1+),neither,-1.9604,-2.3893,-1.5599,-1.9042
Border-associated macrophages,Intermediate neuronal progenitors,neither,-3.4373,-3.4557,-3.2829,-2.9633
