"blastomere","rank","size","blast"
"B1",772,118,"Blastomere A"
"B1",773,118,"Blastomere A"
"B1",774,118,"Blastomere A"
"B1",775,117,"Blastomere A"
"B1",776,117,"Blastomere A"
"B1",777,117,"Blastomere A"
"B1",778,117,"Blastomere A"
"B1",779,117,"Blastomere A"
"B1",780,116,"Blastomere A"
"B1",781,116,"Blastomere A"
"B1",782,116,"Blastomere A"
"B1",783,116,"Blastomere A"
"B1",784,115,"Blastomere A"
"B1",785,115,"Blastomere A"
"B1",786,114,"Blastomere A"
"B1",787,114,"Blastomere A"
"B1",788,113,"Blastomere A"
"B1",789,113,"Blastomere A"
"B1",790,113,"Blastomere A"
"B1",791,113,"Blastomere A"
"B1",792,113,"Blastomere A"
"B1",793,113,"Blastomere A"
"B1",794,113,"Blastomere A"
"B1",795,113,"Blastomere A"
"B1",796,112,"Blastomere A"
"B1",797,112,"Blastomere A"
"B1",798,112,"Blastomere A"
"B1",799,111,"Blastomere A"
"B1",800,111,"Blastomere A"
"B1",801,111,"Blastomere A"
"B1",802,111,"Blastomere A"
"B1",803,110,"Blastomere A"
"B1",804,110,"Blastomere A"
"B1",805,110,"Blastomere A"
"B1",806,110,"Blastomere A"
"B1",807,110,"Blastomere A"
